url,title,product_type,price_excl_tax,price_incl_tax,tax,stars
https://books.toscrape.com/catalogue/alight-the-generations-trilogy-2_360/index.html,Alight (The Generations Trilogy #2),Books,£58.59,£58.59,£0.00,star-rating Four
https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html,Shopaholic Ties the Knot (Shopaholic #3),Books,£48.39,£48.39,£0.00,star-rating Five
https://books.toscrape.com/catalogue/far-from-true-promise-falls-trilogy-2_320/index.html,Far From True (Promise Falls Trilogy #2),Books,£34.93,£34.93,£0.00,star-rating Two
https://books.toscrape.com/catalogue/walk-the-edge-thunder-road-2_300/index.html,Walk the Edge (Thunder Road #2),Books,£32.36,£32.36,£0.00,star-rating Three
https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,The Silkworm (Cormoran Strike #2),Books,£23.05,£23.05,£0.00,star-rating Five
https://books.toscrape.com/catalogue/the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Books,£33.92,£33.92,£0.00,star-rating Three
https://books.toscrape.com/catalogue/the-da-vinci-code-robert-langdon-2_240/index.html,The Da Vinci Code (Robert Langdon #2),Books,£22.96,£22.96,£0.00,star-rating Two
https://books.toscrape.com/catalogue/seven-days-in-the-art-world_220/index.html,Seven Days in the Art World,Books,£52.33,£52.33,£0.00,star-rating Two
https://books.toscrape.com/catalogue/notes-from-a-small-island-notes-from-a-small-island-1_200/index.html,Notes from a Small Island (Notes From a Small Island #1),Books,£40.17,£40.17,£0.00,star-rating One
https://books.toscrape.com/catalogue/jurassic-park-jurassic-park-1_180/index.html,Jurassic Park (Jurassic Park #1),Books,£44.97,£44.97,£0.00,star-rating One
https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Girl in the Blue Coat,Books,£46.83,£46.83,£0.00,star-rating Two
https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html,Civilization and Its Discontents,Books,£59.95,£59.95,£0.00,star-rating Two
https://books.toscrape.com/catalogue/annie-on-my-mind_120/index.html,Annie on My Mind,Books,£36.83,£36.83,£0.00,star-rating Five
https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html,"Fruits Basket, Vol. 2 (Fruits Basket #2)",Books,£11.64,£11.64,£0.00,star-rating Five
https://books.toscrape.com/catalogue/the-secret-healer_80/index.html,The Secret Healer,Books,£34.56,£34.56,£0.00,star-rating Three
https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,The Bhagavad Gita,Books,£57.49,£57.49,£0.00,star-rating Three
https://books.toscrape.com/catalogue/on-the-road-duluoz-legend_40/index.html,On the Road (Duluoz Legend),Books,£32.36,£32.36,£0.00,star-rating Three
https://books.toscrape.com/catalogue/frankenstein_20/index.html,Frankenstein,Books,£38.00,£38.00,£0.00,star-rating Two
